Population,ISO,HDI_score,HDI_rank,Economy,N_M,BodyMass_M,Height_M,BMI_M,Fat_M,TEE_M,BEEmeas_M,BEEest_M,AEE_M,PAL_M,adj_BMI_TEE_slope_M,adj_Fat_TEE_slope_M,N_F,BodyMass_F,Height_F,BMI_F,Fat_F,TEE_F,BEEmeas_F,BEEest_F,AEE_F,PAL_F,adj_BMI_TEE_slope_F,adj_Fat_TEE_slope_F,PercUPF,UPF_source,kg_meat,meat_source, lat, lon,
Nigeria,NGA,0.535,163,lowHDI,NaN,NaN,NA,NA,NaN,NaN,NA,NA,NaN,NaN,NA,NA,116,58.42,160.81,22.58,29.17,9.32,NA,5.45,2.94,1.71,-9.775,1.476,NA,NA,9.32,2, 9.0820, 8.6753
Netherlands,NLD,0.941,10,highHDI,228,86.94,179.93,26.82,26.76,13.83,NA,7.75,4.69,1.79,2.871,4.597,202,73.92,167.19,26.49,35.32,10.94,NA,6.33,3.52,1.73,15.251,12.767,37.0,1,84.25,2, 52.1326, 5.2913
Norway,NOR,0.961,1,highHDI,12,87.1,180.58,26.67,25.66,13.61,NA,7.71,4.55,1.77,-7.027,-2.487,25,66.95,169.38,23.29,28.1,10.64,NA,6.19,3.38,1.71,-11.99,0.085,36.9,12,68.37,2, 60.4720, 8.4689
Nepal,NPL,0.605,144,lowHDI,3,64.33,175.0,20.92,16.65,13.56,6.03,NA,6.17,2.24,-0.704,-5.357,2,54.0,165.0,19.94,24.93,10.37,6.0,NA,3.34,1.73,-9.146,-25.798,NA,NA,12.09,2, 28.3949, 84.1240
Rwanda,RWA,0.534,165,lowHDI,NaN,NaN,NA,NA,NaN,NaN,NA,NA,NaN,NaN,NA,NA,8,60.26,160.93,23.36,31.49,13.54,NA,5.6,6.59,2.42,12.314,1.073,NA,NA,NA,NA, 1.3521, 103.8198, -1.9403, 29.8739
Singapore,SGP,0.939,10,highHDI,56,86.32,173.68,28.59,32.74,11.71,NA,7.2,3.34,1.63,5.335,3.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 60.1282, 18.6435, 1.3521, 103.8198
Shuar,SHR,NA,203,HORT,5,74.5,163.42,27.8,20.07,16.32,NA,7.19,7.5,2.26,-23.681,3.66,8,58.96,150.98,25.81,27.69,10.59,NA,5.69,3.83,1.86,-14.68,-5.394,2.5,13,1.29,14, -2.7500, -78.0833
Sweden,SWE,0.947,9,highHDI,16,69.53,179.13,21.68,16.91,14.34,NA,7.33,5.57,1.97,3.385,2.187,47,70.45,168.0,24.95,30.54,10.87,NA,6.29,3.49,1.73,-5.313,-0.893,42.2,7,80.51,2, 60.1282, 18.6435
Seychelles,SYC,0.785,69,midHDI,31,72.64,169.93,25.14,22.99,11.99,6.89,NA,3.9,1.74,-17.515,-6.717,41,76.06,163.51,28.37,40.11,9.44,5.94,NA,2.55,1.59,2.457,8.738,NA,NA,NA,NA, -4.6796, 55.4920
Thailand,THA,0.8,64,highHDI,23,62.2,166.52,22.45,22.63,8.7,5.92,,1.91,1.48,0.835,1.701,25,53.03,158.48,21.08,31.55,6.93,4.6,NA,1.64,1.51,-13.947,1.017,NA,NA,NA,NA, 15.8700, 100.9925
Tsimane,TSM,NA,201,HORT,16,64.3,162.27,24.28,21.34,12.58,NA,7.79,3.53,1.64,21.184,3.303,16,52.86,150.74,23.41,29.4,9.43,NA,6.11,2.38,1.56,13.978,-6.71,2.5,Obs.,NA,NA, -14.9167, -66.0833
Tuva,TVA,NA,202,AGP,9,64.64,NA,NA,22.48,14.06,NA,6.37,6.28,2.21,-23.8,,3,62.8,NA,NA,38.88,13.86,NA,5.36,7.11,2.57,13.129,NA,NA,NA,NA,NA, 52.0000, 95.0000
United States,USA,0.921,21,highHDI,740,86.24,NA,NA,28.03,12.63,NA,7.43,3.93,1.69,-5.664,-0.743,1869,78.02,164.49,28.83,38.77,9.9,NA,6.09,2.82,1.63,-0.239,-1.859,55.5,1,115.44,2, 37.0902, -95.7129
Yakut,YAK,NA,200,lowHDI,14,72.19,169.48,25.12,25.26,13.29,7.73,NA,4.22,1.72,-0.358,6.245,14,65.19,155.34,26.91,41.44,9.81,6.42,NA,2.41,1.53,36.488,26.96,NA,NA,NA,NA, 62.0000, 129.0000
South Africa,ZAF,0.713,102,midHDI,37,62.03,169.16,21.68,23.11,10.04,NA,6.37,2.67,1.59,-7.929,-2.365,59,83.05,160.54,32.06,44.11,9.97,NA,6.28,2.69,1.6,1.38,-0.447,39.4,15,61.54,2, -30.5595, 22.9375
